nquest,stock_participation,mutual_fund_or_etf,direct_listed_stock,income,log_income,education,age,age_centered,age_centered_squared,region,household_size,female_head,weight
1031630,0,0,0,3000.0,8.006368,Lower secondary,54,-1,1,South and Islands,2,0,0.31807896
1031631,0,0,0,22100.0,10.003333,Lower secondary,54,-1,1,South and Islands,4,0,0.5223663
1031632,0,0,0,32143.25,10.377957,University,51,-4,16,South and Islands,1,1,0.17979513
1031638,0,0,0,33393.137,10.416105,Primary or less,78,23,17,South and Islands,3,0,0.06496113
1031648,0,0,0,21618.816,9.981319,Lower secondary,54,-1,1,South and Islands,2,0,0.091577426
1031669,0,0,0,6001.568,8.699776,Lower secondary,56,1,1,South and Islands,2,0,0.30586794
1031670,0,0,0,68406.27,11.13322,University,41,-14,-60,South and Islands,3,0,0.35904664
1031672,0,0,0,10800.0,9.287301,Lower secondary,51,-4,16,South and Islands,1,1,0.4700706
1031678,0,0,0,16861.14,9.732767,Lower secondary,51,-4,16,South and Islands,3,0,0.11203772
1031683,0,0,0,55012.895,10.915323,Upper secondary,71,16,0,South and Islands,2,0,0.03545965
